dependence0,dependence1,dependence2,rural,religion0,religion1,religion2,religion3,religion4,religion6,annualpayment,monthlypayment,mark,attendance,am,cc,hv,pf,mathlevel,gender,socioeconomic
1,0,0,0,0,0,0,0,0,1,0,0,6.300000190734862,0.950000000000000,0.750000000000000,0.740000000000000,0.650000000000000,0.720000000000000,1,0.023170226935250,0.004041037618112
1,0,0,0,0,1,0,0,0,0,0,0,5.800000190734862,0.950000000000000,0.830000000000000,0.820000000000000,0.840000000000000,0.860000000000000,1,0.008334334804571,0.000096322076360
1,0,0,0,0,1,0,0,0,0,0,0,6.400000095367433,0.910000000000000,0.800000000000000,0.780000000000000,0.700000000000000,0.800000000000000,2,0.003746722943261,0.000599084535336
1,0,0,0,0,1,0,0,0,0,0,0,5.400000095367432,0.885000000000000,0.820000000000000,0.790000000000000,0.730000000000000,0.840000000000000,0,0.296984517076068,0.004926111731860
1,0,0,0,1,0,0,0,0,0,0,0,6.199999809265138,0.930000000000000,0.730000000000000,0.690000000000000,0.630000000000000,0.700000000000000,0,0.003199632987748,0.003608372314946
1,0,0,0,1,0,0,0,0,0,0,0,5.949999809265138,0.930000000000000,0.770000000000000,0.820000000000000,0.700000000000000,0.860000000000000,1,0.004266690432239,0.022345525698237
1,0,0,0,1,0,0,0,0,0,0,0,6.300000190734862,0.980000000000000,0.840000000000000,0.840000000000000,0.750000000000000,0.860000000000000,1,0.005003579983246,0.044609372962552
1,0,0,0,1,0,0,0,0,0,0,0,5.649999618530273,0.930000000000000,0.710000000000000,0.740000000000000,0.610000000000000,0.740000000000000,1,0.005642106717976,0.111865972230513
1,0,0,0,0,1,0,0,0,0,0,0,6.099999904632567,0.935000000000000,0.730000000000000,0.820000000000000,0.720000000000000,0.850000000000000,0,0.020567101894986,0.000277667676627
1,0,0,0,1,0,0,0,0,0,0,0,5.900000095367433,0.965000000000000,0.770000000000000,0.790000000000000,0.670000000000000,0.720000000000000,0,0.000279870410961,0.000967379489180
1,0,0,0,0,1,0,0,0,0,0,0,6.099999904632567,0.930000000000000,0.770000000000000,0.730000000000000,0.680000000000000,0.810000000000000,0,0.004500536376269,0.007651677391963
1,0,0,0,0,1,0,0,0,0,0,0,5.500000000000000,0.940000000000000,0.790000000000000,0.750000000000000,0.680000000000000,0.790000000000000,0,0.000911232642641,0.012963381534742
1,0,0,0,1,0,0,0,0,0,0,0,5.800000190734862,0.945000000000000,0.710000000000000,0.730000000000000,0.690000000000000,0.810000000000000,0,0.005920350582191,0.008923542388830
1,0,0,0,1,0,0,0,0,0,0,0,5.699999809265138,0.950000000000000,0.710000000000000,0.720000000000000,0.660000000000000,0.740000000000000,0,0.000041262069877,0.009953054445420
1,0,0,0,0,1,0,0,0,0,0,0,6.149999618530273,0.925000000000000,0.730000000000000,0.700000000000000,0.670000000000000,0.780000000000000,0,0.012164505638899,0.014627477909266
1,0,0,0,0,1,0,0,0,0,0,0,6.350000381469727,0.960000000000000,0.800000000000000,0.820000000000000,0.740000000000000,0.860000000000000,1,0.035583460978558,0.009500345469069
1,0,0,0,0,1,0,0,0,0,0,0,6.199999809265138,0.940000000000000,0.800000000000000,0.740000000000000,0.680000000000000,0.820000000000000,1,0.008744686694743,0.004926111731860
1,0,0,0,0,1,0,0,0,0,0,0,6.300000190734862,0.980000000000000,0.740000000000000,0.800000000000000,0.730000000000000,0.810000000000000,1,0.001414292702774,0.026917810351450
1,0,0,0,1,0,0,0,0,0,0,0,5.699999809265138,0.920000000000000,0.730000000000000,0.760000000000000,0.690000000000000,0.800000000000000,0,0.008243661655201,0.011589008787339
1,0,0,1,1,0,0,0,0,0,0,0,6.199999809265138,0.980000000000000,0.720000000000000,0.740000000000000,0.640000000000000,0.750000000000000,1,0.000172812810081,0.006191985191597
1,0,0,1,1,0,0,0,0,0,0,0,5.900000095367433,0.980000000000000,0.730000000000000,0.740000000000000,0.710000000000000,0.800000000000000,1,0.002531736564517,0.001712633614944
1,0,0,1,0,1,0,0,0,0,0,0,6.300000190734862,0.955000000000000,0.770000000000000,0.800000000000000,0.830000000000000,0.810000000000000,1,0.004500536376269,0.012108689281743
1,0,0,1,0,1,0,0,0,0,0,0,6.000000000000000,0.890000000000000,0.780000000000000,0.660000000000000,0.650000000000000,0.660000000000000,1,0.004500536376269,0.021387555963706
1,0,0,0,1,0,0,0,0,0,0,0,6.300000190734862,0.970000000000000,0.760000000000000,0.800000000000000,0.710000000000000,0.820000000000000,0,0.023146666792697,0.020309565002985
1,0,0,1,0,1,0,0,0,0,0,0,6.300000190734862,0.970000000000000,0.760000000000000,0.770000000000000,0.680000000000000,0.800000000000000,1,0.001314876999187,0.000685039377600
1,0,0,1,0,1,0,0,0,0,0,0,5.800000190734862,0.970000000000000,0.660000000000000,0.720000000000000,0.590000000000000,0.640000000000000,0,0.000380544470931,0.082302067611641
1,0,0,1,0,1,0,0,0,0,0,0,5.449999809265137,0.980000000000000,0.720000000000000,0.740000000000000,0.560000000000000,0.730000000000000,1,0.063784564951078,0.111986375045672
1,0,0,1,1,0,0,0,0,0,0,0,5.699999809265138,0.950000000000000,0.850000000000000,0.850000000000000,0.780000000000000,0.870000000000000,0,0.015393447947373,0.111865972230513
